product_code,product_name
1000768,APC BE400-KR
100386377,썬루트 PN700W 80PLUS브론즈 ATX3.1
100386404,썬루트 PN700W 80PLUS브론즈 ATX3.1 벌크
1004540,APC BE550-KR
10054539,마이크로닉스 Performance II HV 850W 80PLUS브론즈 FDB
10054617,마이크로닉스 Performance II HV 1000W 80PLUS브론즈 FDB
100695689,리안리 SP750 V2 80PLUS골드 블랙
100695704,리안리 SP750 V2 80PLUS골드 화이트
100695725,리안리 SP850 V2 80PLUS골드 블랙
100695731,리안리 SP850 V2 80PLUS골드 화이트
100758398,NZXT C650 80PLUS골드 벌크
101011316,앱코 코어맥스 CM-850G ETA골드 ATX3.1
101011325,앱코 코어맥스 CM-1050G ETA골드 ATX3.1
101079341,맥스엘리트 MAXWELL RENAS 500W 80PLUS스탠다드
101079365,맥스엘리트 MAXWELL RENAS 600W 80PLUS스탠다드
101079392,맥스엘리트 MAXWELL RENAS 700W 80PLUS스탠다드
101184998,Fractal Design Ion 3 850W 80PLUS골드
101185070,Fractal Design Ion 3 1000W 80PLUS골드 블랙
101185088,Fractal Design Ion 3 1000W 80PLUS골드 화이트
101187416,아툼 RAGE-X ARENA 600K 벌크
101188547,마이크로닉스 COOLMAX P-1050W 80PLUS플래티넘 ATX3.1
101544143,SuperFlower SF-1700F14HT LEADEX ETA티타늄 ATX3.1
101544794,NZXT C1200 80PLUS골드 풀모듈러 ATX3.0
101628794,리안리 SP850 80PLUS플래티넘 블랙
101628830,리안리 SP850 80PLUS플래티넘 화이트
101628842,리안리 SP1000 80PLUS플래티넘 블랙
101628857,리안리 SP1000 80PLUS플래티넘 화이트
101690942,잘만 ACRUX II 850W 80PLUS플래티넘 풀모듈러 ATX3.1
101696540,잘만 ACRUX II 1000W 80PLUS플래티넘 풀모듈러 ATX3.1
101720138,잘만 ACRUX II 1200W 80PLUS플래티넘 풀모듈러 ATX3.1
101725352,앱코 코어맥스 CM-1200P ETA플래티넘 ATX3.1 블랙
10174137,잘만 MegaMax 500W 80PLUS스탠다드
10174200,잘만 MegaMax 600W 80PLUS스탠다드
10174248,잘만 MegaMax 700W 80PLUS스탠다드
102124958,엔티스 ES 500W 80PLUS스탠다드 ATX3.1
102125018,엔티스 ES 600W 80PLUS스탠다드 ATX3.1
102125108,엔티스 ES 700W 80PLUS스탠다드 ATX3.1
102125198,엔티스 ES 800W 80PLUS스탠다드 ATX3.1
102125246,엔티스 ES 800W 80PLUS스탠다드 ATX3.1 벌크
102125267,엔티스 ES 700W 80PLUS스탠다드 ATX3.1 벌크
102125282,엔티스 ES 600W 80PLUS스탠다드 ATX3.1 벌크
102125291,엔티스 ES 500W 80PLUS스탠다드 ATX3.1 벌크
102357194,FSP MEGA TI 1650W 80PLUS티타늄 풀모듈러 ATX 3.1
102357467,FSP MEGA GM 850W 80PLUS골드 풀모듈러 ATX 3.1
102357575,FSP MEGA GM 1000W 80PLUS골드 풀모듈러 ATX 3.1
102357713,FSP MEGA GM 1200W 80PLUS골드 풀모듈러 ATX 3.1
102492254,리안리 SX850 80PLUS플래티넘 블랙
102492269,리안리 SX850 80PLUS플래티넘 화이트
102550139,리안리 SX1000 80PLUS플래티넘 블랙
102550202,리안리 SX1000 80PLUS플래티넘 화이트
